strategy_id,total_return,cagr,max_drawdown,sharpe,win_rate,quarters,filter,rank,top
"pl10_liq2_t20",1104.6,20.2,35.8,0.86,67,55,"pl_ratio > 0 AND pl_ratio < 10 AND liquidez_corrente > 2 AND avg_daily_liquidity > 1e6","pl_ratio ASC",20
"ev8_liq15",1203.7,20.9,35.9,0.97,73,55,"ev_ebit > 0 AND ev_ebit < 8 AND liquidez_corrente > 1.5 AND avg_daily_liquidity > 1e6","ev_ebit ASC",10
"ev8_liq15_t20",1277.4,21.4,34.9,1.01,73,55,"ev_ebit > 0 AND ev_ebit < 8 AND liquidez_corrente > 1.5 AND avg_daily_liquidity > 1e6","ev_ebit ASC",20
"ev8_liq2",1390.7,22.2,41.1,0.99,75,55,"ev_ebit > 0 AND ev_ebit < 8 AND liquidez_corrente > 2 AND avg_daily_liquidity > 1e6","ev_ebit ASC",10
"ev8_liq2_t20",1090.5,20.1,34.9,0.96,75,55,"ev_ebit > 0 AND ev_ebit < 8 AND liquidez_corrente > 2 AND avg_daily_liquidity > 1e6","ev_ebit ASC",20
"pl8_ev8_cf",2235.5,26.3,35.9,1.23,75,55,"pl_ratio > 0 AND pl_ratio < 8 AND ev_ebit > 0 AND ev_ebit < 8 AND fluxo_caixa_op_ttm > 0 AND avg_daily_liquidity > 1e6","ev_ebit ASC",10
"pl8_ev8_cf_t20",1242.5,21.2,33.8,1.01,67,55,"pl_ratio > 0 AND pl_ratio < 8 AND ev_ebit > 0 AND ev_ebit < 8 AND fluxo_caixa_op_ttm > 0 AND avg_daily_liquidity > 1e6","ev_ebit ASC",20
"ev10_cf",2029.1,25.4,35.9,1.20,75,55,"ev_ebit > 0 AND ev_ebit < 10 AND fluxo_caixa_op_ttm > 0 AND avg_daily_liquidity > 1e6","ev_ebit ASC",10
"ev10_cf_t20",1340.6,21.8,36.9,1.03,71,55,"ev_ebit > 0 AND ev_ebit < 10 AND fluxo_caixa_op_ttm > 0 AND avg_daily_liquidity > 1e6","ev_ebit ASC",20
"mf_val_qual1",1984.5,25.2,41.9,1.12,75,55,"pl_ratio > 0 AND pl_ratio < 8 AND ev_ebit > 0 AND ev_ebit < 8 AND roe > 0.15 AND margem_liquida > 0.1 AND avg_daily_liquidity > 1e6","ev_ebit ASC",10
"mf_val_qual1_t20",1134.3,20.5,33.8,0.97,71,55,"pl_ratio > 0 AND pl_ratio < 8 AND ev_ebit > 0 AND ev_ebit < 8 AND roe > 0.15 AND margem_liquida > 0.1 AND avg_daily_liquidity > 1e6","ev_ebit ASC",20
"mf_val_qual2",1985.2,25.2,36.9,1.12,73,55,"pl_ratio > 0 AND pl_ratio < 10 AND ev_ebit > 0 AND ev_ebit < 10 AND roe > 0.1 AND margem_liquida > 0.05 AND avg_daily_liquidity > 1e6","ev_ebit ASC",10
