strategy_id,category,total_return,cagr,max_drawdown,sharpe,win_rate,alpha_rate,quarters,filter,rank,top
"ev_lt4_t10","1.value_ev",1849.51,24.11,25.64,1.245,78.2,60.0,55,"ev_ebit > 0 AND ev_ebit < 4 AND avg_daily_liquidity > 1e6","ev_ebit ASC",10
"ev_lt4_t15","1.value_ev",3465.07,29.68,24.84,1.367,78.2,69.1,55,"ev_ebit > 0 AND ev_ebit < 4 AND avg_daily_liquidity > 1e6","ev_ebit ASC",15
"ev_lt4_t20","1.value_ev",2726.01,27.50,27.03,1.304,78.2,67.3,55,"ev_ebit > 0 AND ev_ebit < 4 AND avg_daily_liquidity > 1e6","ev_ebit ASC",20
"ev_lt4_t30","1.value_ev",2044.24,24.97,27.07,1.233,72.7,70.9,55,"ev_ebit > 0 AND ev_ebit < 4 AND avg_daily_liquidity > 1e6","ev_ebit ASC",30
"ev_lt5_t5","1.value_ev",1192.78,20.46,29.95,0.975,69.1,56.4,55,"ev_ebit > 0 AND ev_ebit < 5 AND avg_daily_liquidity > 1e6","ev_ebit ASC",5
"ev_lt5_t10","1.value_ev",1775.09,23.76,29.55,1.186,76.4,58.2,55,"ev_ebit > 0 AND ev_ebit < 5 AND avg_daily_liquidity > 1e6","ev_ebit ASC",10
"ev_lt5_t15","1.value_ev",1962.21,24.62,35.94,1.149,74.5,67.3,55,"ev_ebit > 0 AND ev_ebit < 5 AND avg_daily_liquidity > 1e6","ev_ebit ASC",15
"ev_lt5_t20","1.value_ev",2423.08,26.46,27.03,1.277,78.2,70.9,55,"ev_ebit > 0 AND ev_ebit < 5 AND avg_daily_liquidity > 1e6","ev_ebit ASC",20
"ev_lt5_t30","1.value_ev",1921.42,24.43,27.07,1.196,72.7,74.5,55,"ev_ebit > 0 AND ev_ebit < 5 AND avg_daily_liquidity > 1e6","ev_ebit ASC",30
"ev_lt6_t5","1.value_ev",1139.75,20.09,29.95,0.954,67.3,56.4,55,"ev_ebit > 0 AND ev_ebit < 6 AND avg_daily_liquidity > 1e6","ev_ebit ASC",5
"ev_lt6_t10","1.value_ev",1841.95,24.07,29.55,1.190,76.4,58.2,55,"ev_ebit > 0 AND ev_ebit < 6 AND avg_daily_liquidity > 1e6","ev_ebit ASC",10
"ev_lt6_t15","1.value_ev",1962.09,24.62,35.77,1.143,72.7,67.3,55,"ev_ebit > 0 AND ev_ebit < 6 AND avg_daily_liquidity > 1e6","ev_ebit ASC",15
"ev_lt6_t20","1.value_ev",1620.36,22.98,33.95,1.096,74.5,67.3,55,"ev_ebit > 0 AND ev_ebit < 6 AND avg_daily_liquidity > 1e6","ev_ebit ASC",20
"ev_lt6_t30","1.value_ev",1853.49,24.13,27.07,1.178,72.7,72.7,55,"ev_ebit > 0 AND ev_ebit < 6 AND avg_daily_liquidity > 1e6","ev_ebit ASC",30
"ev_lt7_t5","1.value_ev",1235.84,20.74,29.95,0.985,69.1,56.4,55,"ev_ebit > 0 AND ev_ebit < 7 AND avg_daily_liquidity > 1e6","ev_ebit ASC",5
"ev_lt7_t10","1.value_ev",1538.15,22.55,35.85,1.093,74.5,60.0,55,"ev_ebit > 0 AND ev_ebit < 7 AND avg_daily_liquidity > 1e6","ev_ebit ASC",10
"ev_lt7_t15","1.value_ev",2214.28,25.66,35.77,1.177,74.5,67.3,55,"ev_ebit > 0 AND ev_ebit < 7 AND avg_daily_liquidity > 1e6","ev_ebit ASC",15
"ev_lt7_t20","1.value_ev",1546.00,22.59,34.94,1.072,72.7,67.3,55,"ev_ebit > 0 AND ev_ebit < 7 AND avg_daily_liquidity > 1e6","ev_ebit ASC",20
"ev_lt7_t30","1.value_ev",1610.24,22.93,27.07,1.125,74.5,67.3,55,"ev_ebit > 0 AND ev_ebit < 7 AND avg_daily_liquidity > 1e6","ev_ebit ASC",30
"ev_lt8_t5","1.value_ev",1235.84,20.74,29.95,0.985,69.1,56.4,55,"ev_ebit > 0 AND ev_ebit < 8 AND avg_daily_liquidity > 1e6","ev_ebit ASC",5
"ev_lt8_t10","1.value_ev",1671.32,23.25,35.85,1.120,74.5,63.6,55,"ev_ebit > 0 AND ev_ebit < 8 AND avg_daily_liquidity > 1e6","ev_ebit ASC",10
"ev_lt8_t15","1.value_ev",2065.83,25.06,38.47,1.137,76.4,67.3,55,"ev_ebit > 0 AND ev_ebit < 8 AND avg_daily_liquidity > 1e6","ev_ebit ASC",15
"ev_lt8_t20","1.value_ev",1568.25,22.71,34.94,1.065,74.5,67.3,55,"ev_ebit > 0 AND ev_ebit < 8 AND avg_daily_liquidity > 1e6","ev_ebit ASC",20
"ev_lt8_t30","1.value_ev",1340.83,21.41,34.15,1.023,70.9,69.1,55,"ev_ebit > 0 AND ev_ebit < 8 AND avg_daily_liquidity > 1e6","ev_ebit ASC",30
"ev_lt10_t5","1.value_ev",1235.84,20.74,29.95,0.985,69.1,56.4,55,"ev_ebit > 0 AND ev_ebit < 10 AND avg_daily_liquidity > 1e6","ev_ebit ASC",5
"ev_lt10_t10","1.value_ev",1671.32,23.25,35.85,1.120,74.5,63.6,55,"ev_ebit > 0 AND ev_ebit < 10 AND avg_daily_liquidity > 1e6","ev_ebit ASC",10
"ev_lt10_t15","1.value_ev",2156.36,25.43,38.47,1.146,76.4,67.3,55,"ev_ebit > 0 AND ev_ebit < 10 AND avg_daily_liquidity > 1e6","ev_ebit ASC",15
"ev_lt10_t20","1.value_ev",1536.77,22.54,36.91,1.048,74.5,67.3,55,"ev_ebit > 0 AND ev_ebit < 10 AND avg_daily_liquidity > 1e6","ev_ebit ASC",20
"ev_lt10_t30","1.value_ev",1498.30,22.33,36.10,1.041,70.9,67.3,55,"ev_ebit > 0 AND ev_ebit < 10 AND avg_daily_liquidity > 1e6","ev_ebit ASC",30
"ev_lt12_t5","1.value_ev",1235.84,20.74,29.95,0.985,69.1,56.4,55,"ev_ebit > 0 AND ev_ebit < 12 AND avg_daily_liquidity > 1e6","ev_ebit ASC",5
"ev_lt12_t10","1.value_ev",1671.32,23.25,35.85,1.120,74.5,63.6,55,"ev_ebit > 0 AND ev_ebit < 12 AND avg_daily_liquidity > 1e6","ev_ebit ASC",10
"ev_lt12_t15","1.value_ev",2156.36,25.43,38.47,1.146,76.4,67.3,55,"ev_ebit > 0 AND ev_ebit < 12 AND avg_daily_liquidity > 1e6","ev_ebit ASC",15
"ev_lt12_t20","1.value_ev",1434.88,21.97,36.91,1.016,72.7,67.3,55,"ev_ebit > 0 AND ev_ebit < 12 AND avg_daily_liquidity > 1e6","ev_ebit ASC",20
"ev_lt12_t30","1.value_ev",1342.23,21.42,36.10,1.001,70.9,67.3,55,"ev_ebit > 0 AND ev_ebit < 12 AND avg_daily_liquidity > 1e6","ev_ebit ASC",30
"ev_lt15_t5","1.value_ev",1235.84,20.74,29.95,0.985,69.1,56.4,55,"ev_ebit > 0 AND ev_ebit < 15 AND avg_daily_liquidity > 1e6","ev_ebit ASC",5
"ev_lt15_t10","1.value_ev",1671.32,23.25,35.85,1.120,74.5,63.6,55,"ev_ebit > 0 AND ev_ebit < 15 AND avg_daily_liquidity > 1e6","ev_ebit ASC",10
"ev_lt15_t15","1.value_ev",2156.36,25.43,38.47,1.146,76.4,67.3,55,"ev_ebit > 0 AND ev_ebit < 15 AND avg_daily_liquidity > 1e6","ev_ebit ASC",15
"ev_lt15_t20","1.value_ev",1445.56,22.03,36.91,1.019,72.7,67.3,55,"ev_ebit > 0 AND ev_ebit < 15 AND avg_daily_liquidity > 1e6","ev_ebit ASC",20
"ev_lt15_t30","1.value_ev",1238.63,20.76,38.07,0.965,69.1,63.6,55,"ev_ebit > 0 AND ev_ebit < 15 AND avg_daily_liquidity > 1e6","ev_ebit ASC",30
"ev_lt20_t5","1.value_ev",1235.84,20.74,29.95,0.985,69.1,56.4,55,"ev_ebit > 0 AND ev_ebit < 20 AND avg_daily_liquidity > 1e6","ev_ebit ASC",5
"ev_lt20_t10","1.value_ev",1671.32,23.25,35.85,1.120,74.5,63.6,55,"ev_ebit > 0 AND ev_ebit < 20 AND avg_daily_liquidity > 1e6","ev_ebit ASC",10
"ev_lt20_t15","1.value_ev",2156.36,25.43,38.47,1.146,76.4,67.3,55,"ev_ebit > 0 AND ev_ebit < 20 AND avg_daily_liquidity > 1e6","ev_ebit ASC",15
"ev_lt20_t20","1.value_ev",1445.56,22.03,36.91,1.019,72.7,67.3,55,"ev_ebit > 0 AND ev_ebit < 20 AND avg_daily_liquidity > 1e6","ev_ebit ASC",20
"ev_lt20_t30","1.value_ev",1241.28,20.78,38.07,0.959,69.1,63.6,55,"ev_ebit > 0 AND ev_ebit < 20 AND avg_daily_liquidity > 1e6","ev_ebit ASC",30
"pvp_lt0.3_t5","1.value_pvp",1326.53,21.32,37.94,0.814,61.8,60.0,55,"pvp_ratio > 0 AND pvp_ratio < 0.3 AND avg_daily_liquidity > 1e6","pvp_ratio ASC",5
"pvp_lt0.3_t10","1.value_pvp",2111.21,25.25,40.70,0.892,61.8,65.5,55,"pvp_ratio > 0 AND pvp_ratio < 0.3 AND avg_daily_liquidity > 1e6","pvp_ratio ASC",10
"pvp_lt0.3_t15","1.value_pvp",1660.39,23.19,38.14,0.879,61.8,63.6,55,"pvp_ratio > 0 AND pvp_ratio < 0.3 AND avg_daily_liquidity > 1e6","pvp_ratio ASC",15
"pvp_lt0.3_t20","1.value_pvp",1456.58,22.09,30.93,0.851,61.8,65.5,55,"pvp_ratio > 0 AND pvp_ratio < 0.3 AND avg_daily_liquidity > 1e6","pvp_ratio ASC",20
"pvp_lt0.3_t30","1.value_pvp",1856.00,24.14,30.61,0.919,65.5,67.3,55,"pvp_ratio > 0 AND pvp_ratio < 0.3 AND avg_daily_liquidity > 1e6","pvp_ratio ASC",30
"pvp_lt0.5_t5","1.value_pvp",1326.53,21.32,37.94,0.814,61.8,60.0,55,"pvp_ratio > 0 AND pvp_ratio < 0.5 AND avg_daily_liquidity > 1e6","pvp_ratio ASC",5
"pvp_lt0.5_t10","1.value_pvp",1977.48,24.68,40.94,0.875,61.8,65.5,55,"pvp_ratio > 0 AND pvp_ratio < 0.5 AND avg_daily_liquidity > 1e6","pvp_ratio ASC",10
"pvp_lt0.5_t15","1.value_pvp",1250.02,20.84,40.26,0.814,61.8,65.5,55,"pvp_ratio > 0 AND pvp_ratio < 0.5 AND avg_daily_liquidity > 1e6","pvp_ratio ASC",15
"pvp_lt0.5_t20","1.value_pvp",1256.89,20.88,37.34,0.806,61.8,60.0,55,"pvp_ratio > 0 AND pvp_ratio < 0.5 AND avg_daily_liquidity > 1e6","pvp_ratio ASC",20
